"","pmid","is_research.x","is_open_code","open_code_statements","validate_data","is_coi_pred","coi_text","validate_code","method","is_fund_pred","fund_text","validate_coi","is_register_pred","register_text","validate_fund","is_success.y","Publication.Year","validate_reg","comments"
"1",29893805,TRUE,FALSE,"","",TRUE,"Potential conflicts of interest.  A.R. reports consultancy fees from Bristol Myers Squibb, La Jolla Pharmaceuticals, and Genentech Inc. M.H. reports consultancy fees form Bristol Myers Squibb and grants from the NIH. S.W. reports consultancy fees from Bristol Myers Squibb, grants from the Society of Critical Care Medicine, travel accommodations from ThermoFisher Scientific, and royalties from Up-To-Date. N.T. reports consultancy fees from Therabron, Care Fusion, and Gene Fluidics. The other authors report no potential conflicts of interest. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.","","",TRUE,"Financial support.  This work was supported by the NIH National Institute of Allergy and Infectious Diseases (R01AI084011 to A.G.R.) and the CDC (to A.G.R.). K.M. acknowledges support from the Boston Childrens’ Hospital Translational Research Program and from the Charles Hood Foundation. Financial support.","",FALSE,"","",TRUE,2019,"",""
"2",29961841,TRUE,FALSE,"","",TRUE,"Potential conflicts of interest.  All authors: No reported conflicts. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.","","",TRUE,"Notes: Presented in part: Conference on Retroviruses and Opportunistic Infections from 13–16 February 2017 in Seattle, Washington.: Acknowledgments. The authors thank all patients and their partners and families. They thank all the nurses and institutional staff involved in this study from the Mbeya Zonal Referral Hospital Hospital (Sarah Mlelwa, Happy Mtovisala, Dora Simwaba, Ruth Fungo, and Adelina Thomas); the Mbeya Regional Referral Hospital (Anna Sakasumba, Upendo Ngatunga, Veronica Sowoki, and Christina Livigha); the Ruanda Health Centre (Sakina Myefu, Helena Macha, Eledia Mandalasi, and Salome Mwalyezi); the Kiwanjampaka Health Centre (Nyemo Mwajeka, Neema Kapungu, and Sophia Hyera); and the Igawilo Hospital (Debora Kikaro, Neema Mwambene, Ruth Twamzihirwa, and Nitike Kilindu). They further thank Mr Abisai Kisinda, Dr Mkunde Chachage, and their team from the National Institute for Medical Research, Mbeya Medical Research Center (NIMR-MMRC) main laboratory; Mr Yohana Fungo from the Mbeya Zonal Referral Hospital laboratory and his team for confirmatory HIV testing; and Mr Dickens Kowuor and Mr Peter Agrea from the NIMR-MMRC and Dr Friedrich Rieß and Mrs Fidelina Zekoll from the Medical Center of the University of Munich data management unit for database programming and data management. The authors especially thank Mrs Dipti Lallubhai and Mrs Gwynn Stevens, PhD, from Cepheid South Africa for their tireless support regarding infrastructure, test reagents and analyzers, training, and maintenance.: Financial suppport. This work was supported by the German Centre for Infectious Diseases (grant numbers TTU 04.903 and TTU 04.703). Cepheid South Africa provided in-kind support for the GeneXpert analyzer; the Xpert HIV-1 Qual test kits; training and maintenance; and financial support for site infrastructure upgrades. Funders had no role in the study design, data collection, data analysis, data interpretation, or writing of the report.: Potential conflicts of interest. All authors: No reported conflicts. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed.","",TRUE,"Clinical Trials Registration NCT02545296","",TRUE,2019,"",""
"3",30099510,TRUE,FALSE,"","",TRUE,"Potential conflicts of interest.  W. I. L. has a patent for virome- capture-sequencing (VirCapSeq-VERT) issued. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.","","",TRUE,"Funding.  This work was supported by the National Institutes of Health (UL1TR000040 to Columbia University and K23AI098479 to M. R. O.); the David R. Nalin, MD ‘65 Fund for International Research at Albany Medical College (M. J. C.); and the Stony Wold-Herbert Fund (M. J. C.). Additional support was provided through the DELTAS Africa Initiative (grant no. 107743). The DELTAS Africa Initiative is an independent funding scheme of the African Academy of Sciences (AAS), Alliance for Accelerating Excellence in Science in Africa (AESA), and supported by the New Partnership for Africa’s Development Planning and Coordinating Agency (NEPAD Agency) with funding from the Wellcome Trust (grant no. 107743]) and the UK Government. Funding.","",FALSE,"","",TRUE,2019,"",""
"4",30188978,TRUE,FALSE,"","",TRUE,"Potential conflicts of interest.  All authors: No reported conflicts of interest. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.","","",TRUE,"Financial support.  This work was supported through DNDi by the European Union Seventh Framework Programme Africoleish (grant number 305178); the World Health Organization - Special Programme for Research and Training in Tropical Diseases (WHO-TDR); the French Development Agency, France (grant number CZZ2062); Department for International Development, UK; the Federal Ministry of Education and Research through KfW, Germany; the Medicor Foundation, Liechtenstein; Médecins Sans Frontières, International; the Swiss Agency for Development and Cooperation, Switzerland (grant number 81017718); and the Dutch Ministry of Foreign Affairs, The Netherlands (grant number PDP15CH21). Financial support.","",TRUE,"Clinical Trials Registration NCT02431143.","",TRUE,2019,"",""
"5",30307560,TRUE,FALSE,"","",TRUE,"Potential conflicts of interest. 
 All authors: No reported conflicts of interest. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.","","",TRUE,"Financial support.  This work was supported by the Australian Centre for HIV and Hepatitis Virology Research, which is funded by the Department of Health and Ageing, Australian Commonwealth Government; and by the Wellcome Trust (Charles Bangham Senior Investigator Award number WT100291MA). Financial support.","",FALSE,"","",TRUE,2019,"",""
"6",30383204,FALSE,FALSE,"","",TRUE,"Potential conflicts of interest.  All authors: No reported conflicts of interest. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.","","",TRUE,"Financial support.  This perspective piece arose out of discussions of the Modelling Research Group at the annual meeting of the TB Modelling and Analysis Consortium, which is funded by the Bill & Melinda Gates Foundation. J. M. T. is a recipient of an Early Career Fellowship from the National Health and Medical Research Council, Australia (fellowship number APP1142638). R. M. G. J. H. received funding from the European Research Council under the European Union’s Horizon 2020 research and innovation programme (grant agreement number 757699). P. J. D. is supported by the Medical Research Council, United Kingdom (fellowship number MR/P022081/1). Financial support.","",FALSE,"","",TRUE,2019,"",""
"7",30407513,TRUE,FALSE,"","",TRUE,"Potential conflicts of interest.  F. R. and W. R. B. are employees of GSK and own restricted shares of the company. S. C. G., K. E., and A. V. S. H. are named inventors on patents relating to viral vector vaccines for malaria and other diseases. F. R. and W. R. B. are employees of GSK, which is developing vectored vaccines for Ebola and other diseases. All other authors report no potential conflicts of interest. All authors have submitted the ICMJE Form for Disclosure of Potential Conflicts of Interest. Conflicts that the editors consider relevant to the content of the manuscript have been disclosed. Potential conflicts of interest.","","",TRUE,"Financial support.  This work was supported by the Wellcome Trust, the UK Medical Research Council, the UK Department for International Development, and the UK NIHR Oxford Biomedical Research Centre. The Good Manufacturing Practice biomanufacture of MVA-EBO-Z and the UK clinical trial was supported by an Enhancement Award to a Wellcome Trust Strategic Award (to A. V. S. H. as principal investigator) co-funded by the Medical Research Council, the Department for International Development, and the European and Developing Countries Clinical Trials Partnership (grant number 106325/Z/14/A), with additional support from the NIHR Oxford Biomedical Research Centre. The Senegal trial was largely funded by a European Commission Horizon 2020 program award EbolaVac ( www.ebolavac.eu  grant agreement 666085), which provided additional resources for the MVA-EBO-Z biomanufacture. This study was also supported by GlaxoSmithKline Biologicals SA. Financial support.","",TRUE,"Clinical Trials Registration NCT02451891; NCT02485912.","",TRUE,2019,"",""
"8",30561310,TRUE,FALSE,"","",FALSE,"","","",FALSE,"","",FALSE,"","",TRUE,2019,"",""
"9",30606126,TRUE,FALSE,"","",TRUE,"Competing interests The authors declare that they have no competing interests.","","",TRUE,"Funding This investigation was supported by the World Health Organization country office in the region of South Sudan and the United Nations Children’s Fund (UNICEF) through the Tonj State Ministry of health. Its contents are solely the responsibility of the authors and do not necessarily represent the official views of WHO, UNICEF or Tonj State Ministry of Health, or the Ministry of Health of the Republic of South Sudan.","",FALSE,"","",TRUE,2019,"",""
"10",30611204,TRUE,FALSE,"","",TRUE,"Competing interests The authors declare that they have no competing interests.","","",TRUE,"Funding This work was supported by a Grant-in-Aid for Clinical Research (H26-NHO (AIDS)-03) from the National Hospital Organization to DW (https://www.hosp.go.jp). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","",FALSE,"","",TRUE,2019,"",""
